airbnb_listing_id,ad_name,bairro,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,adr_mediano,adr_medio,n_diarias_observadas,number_of_reviews,star_rating,guest_satisfaction_overall,is_superhost,is_professional
1318358305368197236,Apto 3 Suítes Meia Praia,Meia Praia,apartamento,3,0.0,6,,,,0,,0,True,True
1041532890691006495,Vista mar 3 quartos Confortável,Não identificado,apartamento,3,2.0,9,,,,2,5.0,5,False,True
1132738916863619348,Amplo apto 3 suítes wi-fi churra,Meia Praia,apartamento,3,4.0,10,,,,0,,0,False,False
21662762,Conforto próximo ao Mar. Wi-Fi e Split,Meia Praia,apartamento,3,2.0,9,300.0,317.9222222222222,90.0,157,4.849999904632568,4,False,False
45898408,Apartamento para temporada próximo do mar,Não identificado,apartamento,0,0.0,6,,,,1,5.0,5,False,False
983188724209547131,Luxuoso AP em Meia Praia!,Meia Praia,apartamento,3,0.0,8,1000.0,905.6380471717172,198.0,13,4.849999904632568,4,True,False
30617740,Grande e Aconchegante Apartamento em Meia Praia,Meia Praia,apartamento,3,2.0,8,500.0,556.4929577464789,71.0,22,4.909999847412109,4,False,False
24561061,Apartamento em Itapema perto da praia,Não identificado,apartamento,3,2.0,7,,,,0,,0,False,
1044223371798078486,Lindo Apto Próximo a Praia!,Não identificado,apartamento,3,3.0,8,800.0,801.0714285714286,70.0,6,5.0,5,False,False
1287791655787727353,Apto de frente - 2 quartos,Não identificado,apartamento,2,1.0,6,,,,0,,0,False,False
1270235986758747345,"Disponível p/ ano novo, meia praia/ quadra mar.",Meia Praia,apartamento,2,2.0,6,,,,0,,0,False,False
1205911286628781390,Apto para família à beira-mar,Meia Praia,apartamento,2,2.0,6,,,,0,,0,False,False
47326216,"Apto pé na areia, Meia Praia, 3 dorm, 2 garagens",Meia Praia,apartamento,3,2.0,8,1100.0,1141.5223214285713,224.0,8,5.0,5,True,False
46220279,Itapema-Meia Praia 80 mts Mar 3 Suítes Decorado.,Meia Praia,apartamento,3,2.0,8,697.0,680.4665024630542,203.0,24,4.880000114440918,4,True,False
1274894241105871317,Apt° em Meia Praia 5 min de caminhada até a praia,Meia Praia,apartamento,3,2.0,6,,,,1,5.0,5,False,False
982602069236081389,Prédio Frente mar próximo Russi,Não identificado,apartamento,2,2.0,6,,,,1,5.0,5,False,True
47543180,Casa próxima a comércios e a 500 mts da praia!,Não identificado,casa,2,1.0,5,250.0,237.82894736842104,38.0,42,4.809999942779541,4,True,False
1278119768108428371,Apto temporada próximo do mar,Não identificado,apartamento,2,2.0,7,,,,0,,0,False,False
1306508535936557508,Apartamento 3 quartos em Itapema,Não identificado,apartamento,3,2.0,6,,,,0,,0,False,False
1274731480570014997,Quarto individual 50m da praia,Não identificado,outros,1,1.0,2,,,,0,,0,False,False
53309335,"Amplo apartamento com churrasqueira, 1 por andar!",Não identificado,apartamento,3,2.0,13,,,,1,5.0,5,False,False
32066948,Casa Amarela de Meia Praia,Meia Praia,casa,3,3.0,10,,,,43,4.929999828338623,4,False,False
49968308,Beira Mar,Não identificado,apartamento,3,2.0,6,700.0,717.0204081632653,49.0,26,5.0,5,False,False
1077461204066333262,Vista Mar e Aconchegante na Meia Praia,Meia Praia,apartamento,3,2.0,6,,,,7,5.0,5,False,False
1278501934376489748,Casa 200 metros do mar,Não identificado,casa,2,2.0,7,,,,0,,0,False,False
1053522951026570547,Cobertura Rooftop c/ Jacuzzi privativa vista mar,Não identificado,apartamento,2,2.0,6,659.55,670.247275,208.0,12,4.829999923706055,4,False,False
53915734,Itapema 500mts. da Praia Confortàvel-S.C. Brasil,Meia Praia,apartamento,2,3.0,4,450.0,503.88439306358384,173.0,95,4.75,4,True,True
48005532,"APTO 2 suítes, 2 vagas e vista para o mar.",Meia Praia,apartamento,2,2.0,6,,,,1,5.0,5,False,False
